Family,genus,species,tongue_type,count,tongue.m,ITlength_mm.m,glossa_mm.m,prementum_mm.m,head_width.m,resid_tongue,resid_glossa
Andrenidae,Andrena,alleghaniensis,short,5,1.618101835,1.896612086,0.371925075,1.24617676,2.645122338,-0.189557849,-0.182151991
Andrenidae,Andrena,banksi,short,1,1.857515848,1.404100513,0.522442459,1.335073389,2.607337868,0.238636631,0.473438467
Andrenidae,Andrena,bisalicis,short,1,1.599268325,1.844,0.274417266,1.324851059,2.76,-0.174112379,-0.456650124
Andrenidae,Andrena,bradleyi,short,14,2.272674404,1.997888905,0.488804006,1.783870399,2.708320905,0.099934273,0.036483452
Andrenidae,Andrena,carlini,short,3,2.361525451,2.131788413,0.479540296,1.881985155,3.361274702,0.07567222,-0.050777317
Andrenidae,Andrena,carolina,short,1,2.171364533,2.086,0.499553774,1.671810759,2.872,0.012677461,0.012913036
Andrenidae,Andrena,cressonii,short,1,1.84724072,2.010688994,0.360387365,1.486853355,3.217533629,-0.113494104,-0.275005692
Andrenidae,Andrena,fenningeri,short,1,1.532266477,1.881,0.251918262,1.280348215,2.73,-0.236085638,-0.563059114
Andrenidae,Andrena,imitatrix,short,10,1.470833745,1.800756316,0.333797255,1.13703649,2.673838764,-0.234924692,-0.235844357
Andrenidae,Andrena,morrisonella,short,4,1.409186202,1.689844898,0.343829587,1.065356615,2.459562537,-0.216384107,-0.13947036
Andrenidae,Andrena,nasonii,short,7,1.513427106,1.516283937,0.325559206,1.187867899,2.436511077,-0.040417281,-0.080256881
Andrenidae,Andrena,perplexa,short,1,2.510448849,2.436157276,0.631870097,1.878578752,3.193045682,0.008010076,0.084917324
Andrenidae,Andrena,pruni,short,2,2.586239198,2.367206794,0.494766208,2.09147299,3.552664925,0.065465291,-0.12952845
Andrenidae,Andrena,robertsonii,short,1,1.45098834,1.582,0.264764811,1.186223529,2.504,-0.123499768,-0.331516732
Andrenidae,Andrena,rudbeckiae,short,1,2.557,2.689,0.679,1.878,3.621041445,-0.068927618,0.053149378
Andrenidae,Andrena,tridens,short,1,1.980129871,1.751,0.413199897,1.566929974,2.623,0.089452878,0.006979815
Andrenidae,Andrena,vicina,short,8,2.681953383,2.511297963,0.575503296,2.106450087,3.566780976,0.04477331,-0.040424544
Andrenidae,Andrena,wilkella,short,15,2.380677517,2.243960432,0.676934463,1.703743054,3.36196839,0.034253152,0.24011347
Andrenidae,Calliopsis,andreniformis,short,1,3.119,1.446,1.624,1.495,2.276725039,0.728528143,1.576690619
Apidae,Apis,mellifera,long,2,4.970822419,3.026,3.298666772,1.672155648,3.788,-0.217193464,-0.207589413
Apidae,Bombus,bimaculatus,long,54,9.992851852,4.358592593,6.944388889,3.048462963,4.832511845,0.128883284,0.153597821
Apidae,Bombus,citrinus,long,3,7.576333333,3.554333333,5.266,2.310333333,NA,0.048925275,0.091157823
Apidae,Bombus,fervidus,long,3,10.71966667,3.496666667,7.684666667,3.035,NA,0.41176409,0.486292395
Apidae,Bombus,griseocollis,long,67,9.19680597,4.99541791,6.240358209,2.956447761,5.304292775,-0.085756308,-0.096517212
Apidae,Bombus,impatiens,long,29,10.13634483,4.824344828,7.015482759,3.120862069,5.166537795,0.045148319,0.057160374
Apidae,Bombus,perplexus,long,17,8.308117647,4.280176471,5.495176471,2.812941176,4.000355108,-0.038230541,-0.061398991
Apidae,Bombus,vagans,long,1,8.911,3.089,6.379,2.532,NA,0.346619032,0.430263208
Apidae,Ceratina,calcarata,long,36,3.667388889,1.41675,2.484111111,1.183277778,1.885545125,0.211166643,0.305783807
Apidae,Ceratina,strenua,long,7,2.683714286,1.018142857,1.788428571,0.895285714,1.442744102,0.217775585,0.324179059
Apidae,Habropoda,laboriosa,long,32,9.168218241,3.763079761,6.805461881,2.36275636,5.277759989,0.184554868,0.287676777
Apidae,Melissodes,bimaculata,long,2,6.381,2.6005,3.938,2.443,NA,0.178810074,0.128711275
Apidae,Melissodes,denticulata,long,24,5.285541667,2.436333333,3.355583333,1.929958333,3.502983074,0.05340047,0.037147429
