Family,genus,species,tongue_type,count,tongue.m,ITlength_mm.m,glossa_mm.m,prementum_mm.m,head_width.m,resid_tongue,resid_glossa
Apidae,Melissodes,subillata,long,9,4.248555556,2.444777778,2.664444444,1.584111111,NA,-0.168335215,-0.197116395
Apidae,Melissodes,tridonis,long,1,5.035,2.841,3.419,1.616,NA,-0.143475248,-0.105506858
Apidae,Melissodes,trinodis,long,1,5.577,2.72,3.813,1.764,NA,0.000771703,0.049270739
Apidae,Nomada,articulata,long,8,2.504373338,1.385824326,1.373124215,1.131249123,2.121474046,-0.14897248,-0.263864043
Apidae,Nomada,illinoensis,long,1,2.11071948,1.325,1.073931356,1.036788124,2.096,-0.276661479,-0.462490464
Apidae,Nomada,imbricata,long,1,3.109916443,1.877536422,1.642109458,1.467806985,2.911652298,-0.225512271,-0.403882337
Apidae,Nomada,pygmaea,long,2,2.035093145,1.094016934,1.059697247,0.975395898,1.936650055,-0.128259084,-0.274659622
Apidae,Nomada,vegana,long,5,3.5394,1.669,2.2618,1.2776,NA,0.017487474,0.039943927
Apidae,Peponapis,pruinosa,long,2,7.958,3.454,5.79,2.168,NA,0.125711623,0.216091234
Apidae,Triepeolus,unknown,long,1,4.626,2.341,3.058,1.568,NA,-0.04135525,-0.013797053
Apidae,Xylocopa,virginica,long,40,7.305975,6.02795,4.974975,2.331,6.483167638,-0.4972671,-0.520453481
Colletidae,Colletes,inaequalis,short,33,2.354177193,2.88730898,0.538865678,1.815311515,3.767598561,-0.01888768,-0.183465193
Colletidae,Colletes,thoracicus,short,1,2.769,3.257,0.824,1.945,NA,0.027118714,0.114708422
Colletidae,Colletes,validus,short,9,2.826512527,2.760122815,0.711392673,2.115119854,3.554505609,0.207446579,0.141604571
Colletidae,Hylaeus,affinis,short,4,0.96925,1.21475,0.31425,0.655,1.256416632,-0.070656391,0.186512167
Colletidae,Hylaeus,sparsus,short,1,0.7572631,1.016,0.166781005,0.590482095,1.379,-0.145021221,-0.259359967
Halictidae,Agapostemon,sericeus,short,1,3.096,1.888,1.152,1.944,2.798418111,0.201007445,0.314686092
Halictidae,Agapostemon,texanus,short,3,3.492,1.99,1.347,2.145,2.884245713,0.270585733,0.415808156
Halictidae,Agapostemon,virescens,short,16,3.738375,2.0619375,1.348,2.390375,2.797249321,0.304486563,0.379255926
Halictidae,Augochlora,pura,short,21,2.754095238,1.664142857,1.136333333,1.617761905,2.334369986,0.205801025,0.433537583
Halictidae,Augochlorella,aurata,short,10,2.4267,1.417,0.8881,1.5386,1.90405415,0.234417481,0.355899808
Halictidae,Augochlorella,persimilis,short,1,1.686,1.27,0.427,1.259,NA,-0.024042631,-0.261376585
Halictidae,Augochlorella,unknown,short,1,2.118,1.246,0.789,1.329,NA,0.222485262,0.372642069
Halictidae,Augochloropsis,metallica,short,1,2.32,1.707,0.773,1.547,NA,0.009736903,0.021550778
Halictidae,Halictus,confusus,short,7,2.105189029,1.39202285,0.667781817,1.437407213,2.002541831,0.109455495,0.089453814
Halictidae,Halictus,ligatus,short,30,2.85079083,1.695738199,1.128656185,1.722134644,2.73734031,0.222155073,0.407006331
Halictidae,Halictus,parallelus,short,7,2.922285714,2.255142857,1.004,1.918285714,3.262444824,-0.028248475,-0.009438182
Halictidae,Halictus,rubicundus,short,6,2.636833333,1.984833333,0.833166667,1.803666667,2.819026273,-0.007800987,-0.061863105
Halictidae,Lasioglossum,callidum,short,2,1.4955,1.307,0.5115,0.984,1.618285742,-0.17165899,-0.110972357
Halictidae,Lasioglossum,coerulum,short,1,1.304114649,1.34,0.253908227,1.050206422,1.827,-0.332662587,-0.837534142
Halictidae,Lasioglossum,coreopsis,short,4,1.182,0.879,0.37025,0.81175,1.097176001,-0.024013089,-0.017519465
Halictidae,Lasioglossum,coriaceum,short,3,2.559333333,1.88,0.932,1.627333333,2.659440752,0.014741807,0.107223548
Halictidae,Lasioglossum,cressonii,short,1,1.573,1.446,0.494,1.079,1.821182466,-0.218684302,-0.251925331
Halictidae,Lasioglossum,ephialtum,short,2,1.274003058,1.141576186,0.304833975,0.969169083,1.475692588,-0.201340726,-0.486433964
Halictidae,Lasioglossum,floridanum,short,1,1.482708219,1.383,0.253836695,1.228871524,1.654,-0.234802867,-0.870987143
Halictidae,Lasioglossum,fuscipenne,short,2,2.268126353,1.7975,0.60279028,1.665336073,2.405209955,-0.06273769,-0.281411939
Halictidae,Lasioglossum,imitatum,short,1,1.231,0.847,0.425,0.806,1.299421268,0.052399427,0.159337326
Halictidae,Lasioglossum,leucocomum,short,6,1.627,1.133166667,0.547166667,1.079833333,1.493771566,0.050369675,0.106317274
Halictidae,Lasioglossum,mitchelli,short,3,1.277666667,0.979,0.454666667,0.823,1.429576289,-0.050182422,0.074710287
Halictidae,Lasioglossum,pectorale,short,8,2.002125,1.382875,0.814625,1.1875,1.699045042,0.065623198,0.29514454
Halictidae,Lasioglossum,pilosum,short,16,1.803,1.3095625,0.5979375,1.2050625,1.641251555,0.013441844,0.043109275
Halictidae,Lasioglossum,tegulare,short,4,1.30675,0.92375,0.44075,0.866,1.366218964,0.028393718,0.10463024
Halictidae,Lasioglossum,trigeminum,short,6,1.4485,1.193833333,0.472666667,0.975833333,1.561042739,-0.116177904,-0.094817544
Halictidae,Lasioglossum,truncatum,short,1,2.05,1.72,0.636,1.414,NA,-0.121313297,-0.181497464
Halictidae,Lasioglossum,versatum,short,19,1.716526316,1.361578947,0.638578947,1.077947368,1.684070509,-0.073303725,0.067960806
Halictidae,Lasioglossum,vierecki,short,11,1.252363636,0.941727273,0.413181818,0.839181818,1.22316023,-0.032720199,0.019798217
Halictidae,Sphecodes,dichrous,short,1,1.82,1.84,0.605,1.215,NA,-0.305410759,-0.302294849
Megachilidae,Anthidium,manicatum,long,1,4.622940461,3.480483559,2.614787463,2.008152998,3.86135646,-0.292488832,-0.497182572
Megachilidae,Coelioxys,hunteri,long,1,4.028,2.109,2.904,1.124,3.010086077,0.053273052,0.133832418
Megachilidae,Coelioxys,octodentata,long,1,3.707,2.174,2.644,1.063,3.020339064,-0.059072466,0.00815734
Megachilidae,Coelioxys,sayi,long,1,4.085,2.181,3.033,1.052,3.027798878,0.034923518,0.142040549
Megachilidae,Heriades,carinata,long,1,2.644,1.479,1.754,0.89,1.873196786,-0.025205795,0.002305638
Megachilidae,Heriades,leavitti,long,2,2.895,1.704,2.008,0.887,1.720492007,-0.071197421,-0.011176171
Megachilidae,Hoplitis,pilosifrons,long,23,4.677782609,1.722130435,3.22926087,1.448521739,2.316638821,0.398426281,0.452822811
Megachilidae,Hoplitis,producta,long,3,2.84519088,1.380291557,1.636957607,1.208233273,1.990221626,0.114799031,0.005785422
Megachilidae,Lithurgus,chrysurus,long,6,9.037833333,3.339833333,7.588,1.449833333,NA,0.417714398,0.611524034
Megachilidae,Megachile,addenda,long,1,6.158,3.984,4.245,1.913,NA,-0.136180536,-0.154522345
Megachilidae,Megachile,brevis,long,1,5.049,2.866,3.488,1.561,NA,-0.016836166,-0.005030143
Megachilidae,Megachile,centuncularis,long,1,4.2062315,3.154857565,2.731077109,1.475154391,3.687638168,-0.292143349,-0.350509734
Megachilidae,Megachile,exilis,long,1,3.301352645,1.932,1.918361021,1.382991624,2.886,-0.061057185,-0.188726306
Megachilidae,Megachile,frigida,long,3,4.314455576,3.0455415,2.432182683,1.882272893,4.008889904,-0.232701977,-0.429381584
Megachilidae,Megachile,inimica,long,6,5.772333333,2.943666667,4.1015,1.670833333,NA,0.091241945,0.128913014
Megachilidae,Megachile,mendica,long,28,5.035428571,2.811857143,3.545107143,1.490321429,3.875452492,-0.001119324,0.031239442
Megachilidae,Megachile,petulans,long,1,5.049,2.783,3.522,1.527,NA,0.011528916,0.035533672
Megachilidae,Megachile,pugnata,long,10,7.0305,3.2028,4.9577,2.0728,4.391258733,0.206990175,0.229896814
Megachilidae,Megachile,relativa,long,1,4.393,2.544,3.005,1.388,NA,-0.040982047,-0.028917788
Megachilidae,Megachile,sculpturalis,long,1,7.226,4.286,5.134,2.092,NA,-0.046771592,-0.041115115
Megachilidae,Megachile,xylocopoides,long,10,6.0742,3.5241,4.3462,1.728,4.989808327,-0.031489929,-0.002142602
Megachilidae,Osmia,pumila,long,6,3.671103274,2.056568195,2.4161013,1.255001975,2.572525403,-0.015205609,-0.023662275
Megachilidae,Osmia,taurus,long,2,4.964098306,2.786080464,3.219900895,1.744197411,3.419711622,-0.00649739,-0.055306573
Megachilidae,Trachusa,dorsalis,long,7,6.484142857,3.649571429,4.544,1.940142857,NA,5.23E-05,0.005622058
